"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"232",8200,58,0,0,0,-0.196299150963227,0.0342297534774192,0.00631395341412277
"233",500,59,0,0,0,-0.256056533409557,-0.0543439728472737,-0.0877200841442052
"234",1100,59,0,0,0,-0.228732998595639,0.0103664470724252,-0.0090576563592828
"235",3000,59,0,0,0,-0.174581622492406,0.0325469602143362,0.0169624135030446
"236",8200,59,0,0,0,-0.171504318822134,0.0349059665116518,0.00731669300836102
"237",500,60,0,0,0,-0.241710887711861,-0.302962840505336,-0.0769508975122147
"238",1100,60,0,0,0,-0.199153385856295,0.0224244524701134,-0.0440244714528129
"239",3000,60,0,0,0,-0.22288550638085,0.0274096374481638,-0.0236184641161602
"240",8200,60,0,0,0,-0.18863386151264,0.0309728799614857,0.0214298804334059
"241",500,61,0,0,0,-0.186484217843935,-0.115849598334564,-0.0189330552567893
"242",1100,61,0,0,0,-0.174809759179893,0.0867997866965706,-0.0108976139472244
"243",3000,61,0,0,0,-0.179222678716414,-0.241617631412357,0.0164566780617021
"244",8200,61,0,0,0,-0.218050695699673,-0.0477381809252226,-0.0516438373873787
"245",500,62,0,0,0,-0.166184969494216,0.105097497112475,0.0277803155746679
"246",1100,62,0,0,0,-0.194651574086315,0.0242812935386627,0.0276334146083619
"247",3000,62,0,0,0,-0.193188154259797,0.0381090391888268,0.0101625133710439
"248",8200,62,0,0,0,-0.200093583671225,0.000777091113908002,-0.00802966348976952
"249",500,63,0,0,0,-0.0985233441722949,-0.156913930504082,0.0327991144691562
"250",1100,63,0,0,0,-0.1069838203042,0.063918811163779,0.0979977424733276
"251",3000,63,0,0,0,-0.140032871081742,0.0944919179496702,0.056777795194566
"252",8200,63,0,0,0,-0.187068575329027,-0.0186592811670213,-0.0078889820259237
"253",500,64,0,0,0,-0.173767031657961,-0.0163908437270573,-0.0224768628796548
"254",1100,64,0,0,0,-0.25406328086684,-0.0642105560282629,-0.0961019702407825
"255",3000,64,0,0,0,-0.195250300460501,-0.329754301926067,-0.0165424730482093
"256",8200,64,0,0,0,-0.206120224500909,-0.0312927129633388,-0.00888739539775307
"257",500,65,0,0,0,-0.180116227989471,-0.0310879531435131,-0.0226113003081017
"258",1100,65,0,0,0,-0.237171872679714,-0.29216735353642,-0.0583624875421392
"259",3000,65,0,0,0,-0.193709530976912,-0.0353119043331054,-0.0138836546247627
"260",8200,65,0,0,0,-0.187185227721561,0.00725158827419858,0.0104150632607585
"261",500,66,0,0,0,-0.257198769115949,-0.0176110831985311,-0.0589357275246218
"262",1100,66,0,0,0,-0.168366698228519,-0.290744490252812,0.0320889354420069
"263",3000,66,0,0,0,-0.193131018696097,0.0319059514063789,-0.0258138899871443
"264",8200,66,0,0,0,-0.189724232064713,0.0097298477395209,0.00828145262879088
"265",500,67,0,0,0,-0.354939822458626,-0.0657006269861495,-0.172094677483737
"266",1100,67,0,0,0,-0.17234564234455,-0.350246885573393,0.0276316959565746
"267",3000,67,0,0,0,-0.231416676882048,-0.0343792490752467,-0.0660355906699606
"268",8200,67,0,0,0,-0.174419692264568,0.0311830589409812,0.0109688030118129
"269",500,68,0,0,0,-0.108052438677954,0.145000855093462,0.0497531261573516
"270",1100,68,0,0,0,-0.150010878190545,0.0092229702733917,0.0343162863662863
"271",3000,68,0,0,0,-0.210542241406216,-0.0715778833132626,-0.034799222189646
"272",8200,68,0,0,0,-0.203220113877221,-0.059008880460871,-0.0071349112948299
"273",500,69,0,0,0,-0.0712329021265772,0.058923586723413,0.0383157904268066
"274",1100,69,0,0,0,-0.199569112554292,-0.111602555821532,-0.0629932048907468
"275",3000,69,0,0,0,-0.151518649057006,0.0592318951004054,0.0212341483942484
"276",8200,69,0,0,0,-0.204260053087197,-0.0301545437452957,-0.0161446218813275
"277",500,70,0,0,0,-0.286005275968537,-0.176631534590528,-0.0918289701358572
